,Cluster,Pixel RGB,pixel X Y,Distance
0,"(64, 77)",[30 47 74],"[0, 0]",157.50872991678906
1,"(64, 77)",[31 48 75],"[0, 1]",159.16657940660784
2,"(64, 77)",[30 45 77],"[0, 2]",157.0668647423765
3,"(64, 77)",[30 45 77],"[0, 3]",157.0668647423765
4,"(64, 77)",[28 44 80],"[0, 4]",156.249799999872
5,"(64, 77)",[29 46 79],"[0, 5]",157.91770008456936
6,"(64, 77)",[30 46 75],"[0, 6]",157.10824294097367
7,"(64, 77)",[28 46 75],"[0, 7]",155.93267778115015
8,"(64, 77)",[28 45 78],"[0, 8]",156.24659996300718
9,"(64, 77)",[27 46 79],"[0, 9]",156.760964528801
10,"(64, 77)",[28 45 78],"[0, 10]",156.24659996300718
11,"(64, 77)",[27 46 79],"[0, 11]",156.760964528801
12,"(64, 77)",[27 45 82],"[0, 12]",157.14961024450554
13,"(64, 77)",[26 45 83],"[0, 13]",156.96496424361712
14,"(64, 77)",[28 44 86],"[0, 14]",158.57490343683014
15,"(64, 77)",[27 44 87],"[0, 15]",158.41085821369697
16,"(64, 77)",[28 44 90],"[0, 16]",160.23108312683902
17,"(64, 77)",[28 46 93],"[0, 17]",162.93250136176025
18,"(64, 77)",[30 44 96],"[0, 18]",163.99390232566574
19,"(64, 77)",[30 45 94],"[0, 19]",163.79560433662436
20,"(64, 77)",[29 44 93],"[0, 20]",162.09256614663116
21,"(64, 77)",[28 44 91],"[0, 21]",160.65802189744525
22,"(64, 77)",[26 45 90],"[0, 22]",159.8155186457185
23,"(64, 77)",[29 46 89],"[0, 23]",161.79616806340007
24,"(64, 77)",[28 44 86],"[0, 24]",158.57490343683014
25,"(64, 77)",[28 45 78],"[0, 25]",156.24659996300718
26,"(64, 77)",[30 47 73],"[0, 26]",157.18142383882392
27,"(64, 77)",[30 50 68],"[0, 27]",157.87970103848056
28,"(64, 77)",[31 47 70],"[0, 28]",156.83111936092274
29,"(64, 77)",[31 47 70],"[0, 29]",156.83111936092274
30,"(64, 77)",[34 47 73],"[0, 30]",159.58070058750837
31,"(64, 77)",[36 50 69],"[0, 31]",161.7745344607735
32,"(64, 77)",[37 51 57],"[0, 32]",160.0781059358212
